code	name	alias	continent
001	World
002	Africa
003	North America
004	Afghanistan
005	South America
008	Albania
009	Oceania
011	Western Africa
012	Algeria
013	Central America
014	Eastern Africa
015	Northern Africa
016	American Samoa
017	Middle Africa
018	Southern Africa
019	Americas
020	Andorra
021	Northern America
024	Angola
028	Antigua and Barbuda
029	Caribbean
030	Eastern Asia
031	Azerbaijan
032	Argentina	ARG	South America
034	Southern Asia
035	South-Eastern Asia
036	Australia	AUS	Oceania
039	Southern Europe
040	Austria	AUT	Europe
044	Bahamas
048	Bahrain
050	Bangladesh
051	Armenia
052	Barbados
053	Australia and New Zealand
054	Melanesia
056	Belgium	BEL	Europe
057	Micronesia
060	Bermuda
061	Polynesia
064	Bhutan
068	Bolivia (Plurinational State of)
070	Bosnia and Herzegovina
072	Botswana
076	Brazil	BRA	South America
084	Belize
090	Solomon Islands
092	British Virgin Islands
096	Brunei Darussalam
100	Bulgaria
104	Myanmar
108	Burundi
112	Belarus
116	Cambodia
120	Cameroon
124	Canada	CAN	North America
132	Cabo Verde
136	Cayman Islands
140	Central African Republic
142	Asia
142	Asia excluding Japan
143	Central Asia
144	Sri Lanka
145	Western Asia
148	Chad
150	Europe
151	Eastern Europe
152	Chile
154	Northern Europe
155	Western Europe
156	China	CHN	Asia
170	Colombia
174	Comoros
175	Mayotte
178	Congo
180	Democratic Republic of the Congo
184	Cook Islands
188	Costa Rica
191	Croatia
192	Cuba
196	Cyprus
199	Least developed countries
203	Czech Republic
204	Benin
208	Denmark	DEN	Europe
212	Dominica
214	Dominican Republic
218	Ecuador
222	El Salvador
226	Equatorial Guinea
231	Ethiopia
232	Eritrea
233	Estonia	EST	Europe
234	Faeroe Islands
238	Falkland Islands (Malvinas)
242	Fiji
246	Finland
248	Åland Islands
250	France	FRA	Europe
254	French Guiana
258	French Polynesia
262	Djibouti
266	Gabon
268	Georgia
270	Gambia
275	State of Palestine
276	Germany
288	Ghana
292	Gibraltar
296	Kiribati
300	Greece
304	Greenland
308	Grenada
312	Guadeloupe
316	Guam
320	Guatemala
324	Guinea
328	Guyana
332	Haiti
336	Holy See
340	Honduras
344	China, Hong Kong Special Administrative Region
348	Hungary	HUN	Europe
352	Iceland	ISL	Europe
356	India	IND	Asia
360	Indonesia
364	Iran (Islamic Republic of)
368	Iraq
372	Ireland	IRI	Europe
376	Israel
380	Italy	ITA	Europe
384	Cote d'Ivoire
388	Jamaica
392	Japan	JPN	Asia
398	Kazakhstan
400	Jordan
404	Kenya
408	Democratic People's Republic of Korea
410	Republic of Korea
414	Kuwait
417	Kyrgyzstan
418	Lao People's Democratic Republic
419	Latin America and the Caribbean
422	Lebanon
426	Lesotho
428	Latvia
430	Liberia
432	Landlocked developing countries
434	Libya
438	Liechtenstein
440	Lithuania	LTU	Europe
442	Luxembourg
446	China, Macao Special Administrative Region
450	Madagascar
454	Malawi
458	Malaysia
462	Maldives
466	Mali
470	Malta
474	Martinique
478	Mauritania
480	Mauritius
484	Mexico	MEX	North America
492	Monaco
496	Mongolia
498	Republic of Moldova
499	Montenegro
500	Montserrat
504	Morocco
508	Mozambique
512	Oman
516	Namibia
520	Nauru
524	Nepal
528	Netherlands
531	Curaçao
533	Aruba
534	Sint Maarten (Dutch part)
535	Bonaire
540	New Caledonia
548	Vanuatu
554	New Zealand
558	Nicaragua
562	Niger
566	Nigeria
570	Niue
574	Norfolk Island
578	Norway	NOR	Europe
580	Northern Mariana Islands
583	Micronesia (Federated States of)
584	Marshall Islands
585	Palau
586	Pakistan
591	Panama
598	Papua New Guinea
600	Paraguay
604	Peru	PER	South America
608	Philippines
612	Pitcairn
616	Poland
620	Portugal	POR	Europe
624	Guinea-Bissau
626	Timor-Leste
630	Puerto Rico
634	Qatar
638	Réunion
642	Romania
643	Russian Federation
646	Rwanda
652	Saint-Barthélemy
654	Saint Helena
659	Saint Kitts and Nevis
660	Anguilla
662	Saint Lucia
663	Saint Martin (French part)
666	Saint Pierre and Miquelon
670	Saint Vincent and the Grenadines
674	San Marino
678	Sao Tome and Principe
680	Sark
682	Saudi Arabia
686	Senegal
688	Serbia
690	Seychelles
694	Sierra Leone
702	Singapore	SIN	Asia
703	Slovakia
704	Viet Nam
705	Slovenia
706	Somalia
710	South Africa	RSA	Africa
716	Zimbabwe
722	Small island developing States
724	Spain	ESP	Europe
728	South Sudan
729	Sudan
732	Western Sahara
740	Suriname
744	Svalbard and Jan Mayen Islands
748	Swaziland
752	Sweden	SWE	Europe
756	Switzerland	SUI	Europe
760	Syrian Arab Republic
762	Tajikistan
764	Thailand
768	Togo
772	Tokelau
776	Tonga
780	Trinidad and Tobago
784	United Arab Emirates
788	Tunisia
792	Turkey
795	Turkmenistan
796	Turks and Caicos Islands
798	Tuvalu
800	Uganda
804	Ukraine	UKR	Europe
807	The former Yugoslav Republic of Macedonia
818	Egypt
826	United Kingdom of Great Britain and Northern Ireland	GBR	Europe
830	Channel Islands
831	Guernsey
832	Jersey
833	Isle of Man
834	United Republic of Tanzania
840	United States of America	USA	North America
850	United States Virgin Islands
854	Burkina Faso
858	Uruguay
860	Uzbekistan
862	Venezuela (Bolivarian Republic of)
876	Wallis and Futuna Islands
882	Samoa
887	Yemen
894	Zambia
